!SIL	SIL
<UNK>	SPN
ÆEN	E @ n
Æ-ENE	E e n a
ÆENE	E E n a
Æ-ENES	E e n @ s
ÆENES	E e n @ s
Æ-ENS	E E n s
ÆENS	E @ n s
Æ-ER	E E R
ÆER	E @ R
Æ-ERS	E a S
ÆERS	E a S
ÆNES	E n @ s
ÆR	a R
ÆRA	a R A
ÆRAS	a R a s
ÆRE	a R a
ÆREDE	a R e d a
ÆREN	a R @ n
ÆRENE	a R E n a
ÆRENES	a R e n @ s
ÆRENS	a R @ n s
ÆRER	a R @ R
ÆRERS	a R a S
ÆRES	a R @ s
ÆRET	a R @ t
ÆRETE	a R e t a
ÆRETES	a R e t @ s
ÆRETS	a R E t s
ÆRFUGLVEIEN	a R f u g l v aI @ n
ÆRING	a R I N
ÆRLIG	a R l I
ÆRLIGE	a R l i g a
ÆRLIGES	a R l i g @ s
ÆRLIGS	a R l I g s
ÆRS	a S
ÆRVIK	a R v i k
ÆS	E s
ÆS	E s
ÆSENE	E s E n a
ÆSENES	E s e n @ s
ÆSER	E s @ R
ÆSERS	E s a S
ÆSET	E s @ t
ÆSETS	E s E t s
ÆTT	a t
ÆTTE	a t a
ÆTTENDE	a t E n n a
ÆTTER	a t @ R
ÆTTERS	a t a S
ÆTTES	a t @ s
ÆTTING	a t I N
ÆTTINGEN	a t I N @ n
ÆTTINGENE	a t I N E n a
ÆTTINGENES	a t I N e n @ s
ÆTTINGENS	a t I N @ n s
ÆTTINGER	a t I N @ R
ÆTTINGERS	a t I N a S
ÆTTINGS	a t I N s
ÆTTS	a t s
Ø	y
Ø	y
ØBERG	y b a R g
ØBY	y b y
ØDEGÅRD	y d e g O R
ØDEGÅRDEN	y d e g O R d @ n
ØDEGÅRDS	y d e g O R d s
ØDEMARK	y d e m A R k
Ø-EN	y e n
ØEN	y @ n
ØEN	y @ n
Ø-ENE	y e n a
ØENE	y E n a
Ø-ENES	y e n @ s
ØENES	y e n @ s
Ø-ENS	y E n s
ØENS	y @ n s
Ø-ER	y E R
ØER	y @ R
Ø-ERS	y a S
ØERS	y a S
ØK	y k
ØKA	y k A
ØKAS	y k a s
ØKE	y k a
ØKENDE	y k E n n a
ØKENDES	y k E n n @ s
ØKENE	y k E n a
ØKENES	y k e n @ s
ØKER	y k @ R
ØKEREN	y k e R @ n
ØKES	y k @ s
ØKET	y k @ t
ØKETS	y k E t s
ØKING	y dZ I N
ØKOKRIM	y k O k R i m
ØKOKRIMS	y k O k R I m s
ØKS	W k s
ØKSEKOMITÉ	W k s e k u m i t e
ØKSEKOMITÉANE	W k s e k u m i t e a n a
ØKSEKOMITÉAR	W k s e k u m i t e a R
ØKSEKOMITÉEN	W k s e k u m i t e @ n
ØKT	W k t
ØKTE	W k t a
ØKTES	W k t @ s
ØKTS	W k t s
ØL	y l
ØLA	y l A
ÖLAND	y l A n n
ØLANDSK	y l A n n s k
ØLANDSKE	y l A n n s k a
ØLANDSKES	y l A n n s k @ s
ØLANDSKS	y l A n n s k s
ØLAS	y l a s
ØLE	y l a
ØLEN	y l @ n
ØLEN	y l @ n
ØLENDE	y l E n n a
ØLENDES	y l E n n @ s
ØLENDING	y l @ n n I N
ØLENDINGEN	y l @ n n I N @ n
ØLENDINGENE	y l @ n n I N E n a
ØLENDINGENES	y l @ n n I N e n @ s
ØLENDINGENS	y l @ n n I N @ n s
ØLENDINGER	y l @ n n I N @ R
ØLENDINGERS	y l @ n n I N a S
ØLENDINGS	y l @ n n I N s
ØLENE	y l E n a
ØLENES	y l e n @ s
ØLENS	y l @ n s
ØLER	y l @ R
ØLES	y l @ s
ØLET	y l @ t
ØLETE	y l e t a
ØLETES	y l e t @ s
ØLETS	y l E t s
ØLING	y l I N
ØLS	W l s
ØLSTAD	W l s t a d
ØLTE	W l t a
ØMER	y m @ R
ØNSKEVÊR	W n s k e v @ R
ØNSKEVÊRA	W n s k e v e R A
ØNSKEVÊRET	W n s k e v e R @ t
ØNSKEVÊRI	W n s k e v e R i
ØNSKJEVÊR	W n S e v @ R
ØNSKJEVÊRA	W n S e v e R A
ØNSKJEVÊRET	W n S e v e R @ t
ØNSKJEVÊRI	W n S e v e R i
ØR	y R
ØRA	y R A
ØRA	y R A
ØRAS	y R a s
ØRE	y R a
ØREBETENNELSE	y R e b e t @ n n E l s a
ØREBETENNELSEN	y R e b e t @ n n E l s @ n
ØREBETENNELSENE	y R e b e t @ n n E l s E n a
ØREBETENNELSENES	y R e b e t @ n n E l s e n @ s
ØREBETENNELSENS	y R e b e t @ n n E l s @ n s
ØREBETENNELSER	y R e b e t @ n n E l s @ R
ØREBETENNELSERS	y R e b e t @ n n E l s a S
ØREBETENNELSES	y R e b e t @ n n E l s @ s
ØREBLAD	y R @ b l a d
ØREBLADA	y R @ b l a d A
ØREBLADAS	y R @ b l a d a s
ØREBLADENE	y R @ b l a d E n a
ØREBLADENES	y R @ b l a d e n @ s
ØREBLADER	y R @ b l a d @ R
ØREBLADERS	y R @ b l a d a S
ØREBLADET	y R @ b l a d a
ØREBLADETS	y R @ b l a d E t s
ØREBLADS	y R @ b l A d s
ØREDE	y R e d a
ØREDES	y R e d @ s
ØREGANG	y R e g A N
ØREGANGEN	y R e g A N @ n
ØREGANGENE	y R e g A N E n a
ØREGANGENES	y R e g A N e n @ s
ØREGANGENS	y R e g A N @ n s
ØREGANGER	y R e g A N @ R
ØREGANGERS	y R e g A N a S
ØREGANGS	y R e g A N s
ØRELØS	y R e l y s
ØREN	y R @ n
ØREN	y R @ n
ØRENDE	y R E n n a
ØRENDES	y R E n n @ s
ØRENE	y R E n a
ØRENES	y R e n @ s
ØRENS	y R @ n s
ØRER	y R @ R
ØRERS	y R a S
ØRES	y R @ s
ØRET	y R @ t
ØRETE	y R e t a
ØRETES	y R e t @ s
ØRETS	y R E t s
-ØRING	y R I N
ØRING	y R I N
ØRINGEN	y R I N @ n
-ØRINGEN	y R I N @ n
ØRINGEN	y R I N @ n
-ØRINGENE	y R I N E n a
ØRINGENE	y R I N E n a
-ØRINGENES	y R I N e n @ s
ØRINGENES	y R I N e n @ s
-ØRINGENS	y R I N @ n s
ØRINGENS	y R I N @ n s
-ØRINGER	y R I N @ R
ØRINGER	y R I N @ R
-ØRINGERS	y R I N a S
ØRINGERS	y R I N a S
-ØRINGS	y R I N s
ØRINGS	y R I N s
ØRKEN	W R k @ n
ØRLAND	W R l A n n
ØRN	W R n
ØRNES	W R n @ s
ØRNS	W R n s
ØRNSKØLDSVIK	W R n s k W l l s v i k
ØRS	W S
ØRSTA	W R S t A
ØRSTAD	W R S t a d
ØRVIK	W R v i k
ØRÅSEN	y R o s @ n
ØS	y s
ØS	y s
ØS'	y s
ØSA	y s A
ØSAS	y s a s
ØSE	y s a
ØSEN	y s @ n
ØSENE	y s E n a
ØSENES	y s e n @ s
ØSENS	y s @ n s
ØSER	y s @ R
ØSERS	y s a S
ØSES	y s @ s
ØSET	y s @ t
ØSETS	y s E t s
ØSING	y s I N
ØSTAVINDEN	W s t a v I n n @ n
ØSTEN	W s t @ n
ØSTERUD	W s t e R u d
ØSTFOLD	W s t f O l l
ØSTMARK	W s t m A R k
ØSTMARKA	W s t m A R k A
ØSTSIDA	W s t s i d A
ØSTSIDEN	W s t s i d @ n
ØVE	y v a
ØVER	y v @ R
ØVERÅS	y v e R o s
ØVES	y v @ s
ØVRE	W v R a
ØY	y y
ØYA	y y A
ØYDEGARD	y y d e g A R
ØYE	y y a
ØYEN	y y @ n
ØYER	y y @ R
ØYGARD	y y g A R
ØYGARDEN	y y g A R d @ n
ØYKEFÔR	y y k e f u R
ØYKEFÔRA	y y k e f u R A
ØYKEFÔRET	y y k e f u R @ t
ØYKEFÔRI	y y k e f u R i
ØYNES	y y n @ s
ØYRANE	y y R a n a
ØYRE	y y R a
ØYVIND	y y v I n n
Å	o
ÅKE	o k a
ÅKER	o k @ R
ÅKRE	O k R a
ÅL	o l
ÅLEN	o l @ n
ÅM	o m
ÅMOT	o m u t
ÅRE	o R a
ÅRELÉT	o R e l e t
ÅRELÈT	o R e l @ t
ÅRNES	O R n @ s
ÅRSKOG	O R S k u g
ÅS	o s
ÅSA	o s A
ÅSANE	o s a n a
ÅSE	o s a
ÅSEN	o s @ n
ÅSRYGGEN	O s R y g @ n
ÅSSIDA	O s s i d A
ÅSSIDEN	O s s i d @ n
ÅSSTUBBEN	O s s t u b @ n
ÅSTE	O s t a
ÅTTIÅRSJUBILÉ	O t i O R S u b i l e
ÅTTIÅRSJUBILÉA	O t i O R S u b i l e A
ÅTTIÅRSJUBILÉET	O t i O R S u b i l e @ t
ÅTTIÅRSJUBILÉI	O t i O R S u b i l e i
ÅTTRINGEN	O t R I N @ n
